tweet,tweet_tokenized
@msonrisazulia,['msonrisazulia']
@DTVTotal  #FutbolTotalDIRECTV  La Vinotinto echa el resto,"['dtvtotal', 'futboltotaldirectv', 'vinotinto', 'echa', 'resto']"
"@FVF_Oficial . Por eso te quiero te quiero te quiero !!  Gracias @PepsiVEN, @AsierCazalis  por ese tremendo comercial  y tema ! #quesiganlosqueempezaron  https://t.co/XPp1c0t878","['fvf', 'oficial', 'quiero', 'quiero', 'quiero', 'gracias', 'pepsiven', 'asiercazalis', 'tremendo', 'comercial', 'tema', 'quesiganlosqueempezaron']"
Desde que inició la copa America he estado viendo a los comentaristas venezolanos haciendo referencia a “es lo que tenemos”. eso sres es un claro menosprecio a los que están jugando que ya han hecho más que todos ustedes juntos. Por mi parte quiero que terminen los que comenzaron,"['inició', 'copa', 'america', 'viendo', 'comentaristas', 'venezolanos', 'haciendo', 'referencia', 'tenemos”', 'sres', 'claro', 'menosprecio', 'jugando', 'hecho', 'ustedes', 'juntos', 'parte', 'quiero', 'terminen', 'comenzaron']"
"Gracias a dios!! que emoción nos dan estos muchachos de la @FVF_Oficial contra todo, contra todos, pecho en alto!! Fuerza nunca bajar los brazos adelante muchachos el juego no se acaba hasta que lo diga el árbitro !","['gracias', 'dios', 'emoción', 'dan', 'muchachos', 'fvf', 'oficial', 'pecho', 'alto', 'fuerza', 'nunca', 'bajar', 'brazos', 'adelante', 'muchachos', 'juego', 'acaba', 'diga', 'árbitro']"
Bien Rojo aristigueta !! Gracias !!,"['bien', 'rojo', 'aristigueta', 'gracias']"
Será que directv no puede poner a comentar el juego de venezuela a un Venezolano que sienta más a la selección ? Que sus “análisis” no se centren en criticar a los muchachos y exaltar “lo bueno” que son los otros ?,"['directv', 'puede', 'poner', 'comentar', 'juego', 'venezuela', 'venezolano', 'sienta', 'selección', 'análisis”', 'centren', 'criticar', 'muchachos', 'exaltar', 'bueno”']"
@EzequielDaray Saludos Ezequiel !!  Peor el cambio de can !! No sabe para que entro ?,"['ezequieldaray', 'saludos', 'ezequiel', 'peor', 'cambio', 'can', 'sabe', 'entro']"
@porlagoma Total,"['porlagoma', 'total']"
"Por el resultado y todo el trabajo hablamos  más de @Wuilker_Farinez , de verdad excepcional . Pero lo del rojo @Feraristeguieta es superlativo qué nivel de entrega que dolor por la camisa, que respeto por el pais, por el mismo.  Gran juego muchachos !!","['resultado', 'trabajo', 'hablamos', 'wuilker', 'farinez', 'verdad', 'excepcional', 'rojo', 'feraristeguieta', 'superlativo', 'nivel', 'entrega', 'dolor', 'camisa', 'respeto', 'pais', 'mismo', 'gran', 'juego', 'muchachos']"
"#vinotinto Fácil criticar desde la trinchera digital, salieron 11 jugadores a dejar la piel en el campo, alineaciones Vinotinto anteriores mejor preparadas encajaron más goles ante un brasil menos galáctico que este.  La FVF la puso en grande pero respeto a los que jugaron hoy.","['vinotinto', 'fácil', 'criticar', 'trinchera', 'digital', 'salieron', 'jugadores', 'dejar', 'piel', 'campo', 'alineaciones', 'vinotinto', 'anteriores', 'mejor', 'preparadas', 'encajaron', 'goles', 'brasil', 'menos', 'galáctico', 'fvf', 'puso', 'grande', 'respeto', 'jugaron', 'hoy']"
"#FutbolTotalDIRECTV de qué habla el turco y Pablo?  Brasil puso su 11 de gala, venezuela armó un “vente tú” y jugadores se bajaron a conocer a los compañeros y jugar. No gano como quiso.  Alemania el el 7 a 1 si gano como quiso.","['futboltotaldirectv', 'habla', 'turco', 'pablo', 'brasil', 'puso', 'gala', 'venezuela', 'armó', 'vente', 'tú”', 'jugadores', 'bajaron', 'conocer', 'compañeros', 'jugar', 'gano', 'quiso', 'alemania', 'si', 'gano', 'quiso']"
Hoy atendiendo la invitación de los amigos de AVES  conversaremos sobre las bondades de nuestro VMS de plataforma abierta. Dejó por aquí la invitación para los que tengan interés. Pueden asistir siguiendo la cuenta @dicamsistemas  en IG.  https://t.co/FFe1FrPkH0,"['hoy', 'atendiendo', 'invitación', 'amigos', 'aves', 'conversaremos', 'bondades', 'vms', 'plataforma', 'abierta', 'dejó', 'aquí', 'invitación', 'interés', 'pueden', 'asistir', 'siguiendo', 'cuenta', 'dicamsistemas', 'ig']"
"Saludos @EzequielDaray , sigo  tus transmisiones x One fútbol ! Excelente. Hoy cumple años Lothar y en un documental vi que  Uli Hoeneß dijo en algún momento mientras Rummenigge y yo estemos en el bayer el ni cortará el césped . podrías  en la próxima transmisión comentar de eso?","['saludos', 'ezequieldaray', 'sigo', 'transmisiones', 'one', 'fútbol', 'excelente', 'hoy', 'cumple', 'años', 'lothar', 'documental', 'vi', 'uli', 'hoeneß', 'dijo', 'algún', 'momento', 'mientras', 'rummenigge', 'bayer', 'cortará', 'césped', 'podrías', 'próxima', 'transmisión', 'comentar']"
@Vilma8a Jajajajaja en principio no estaba tan de acuerdo con lo de dulce como el amor pero ... es que igual el amor tampoco es tan dulce no?,"['vilma', 'jajajajaja', 'principio', 'tan', 'acuerdo', 'dulce', 'amor', 'igual', 'amor', 'tampoco', 'tan', 'dulce']"
"„El café debe ser caliente como el infierno, negro como el diablo, puro como el ángel y dulce como el amor.“ —  Charles Maurice de Talleyrand ..  https://t.co/gNagUAILsZ","['„el', 'café', 'debe', 'ser', 'caliente', 'infierno', 'negro', 'diablo', 'puro', 'ángel', 'dulce', 'amor', 'charles', 'maurice', 'talleyrand']"
#BLxOneFootball excelente transmisión como todas los felicito. Para los seguidores de la Bundesliga en venezuela es lo mejor ! Gracias,"['blxonefootball', 'excelente', 'transmisión', 'todas', 'felicito', 'seguidores', 'bundesliga', 'venezuela', 'mejor', 'gracias']"
Algún día seremos serios ja ja,"['algún', 'día', 'serios', 'ja', 'ja']"
@teomairis @spicymeister Misma duda ! Ahora ..Seguro no eran newton .. no me llega el nombre y dice un amigo aqui que nabis  pero no lo recuerdo .,"['teomairis', 'spicymeister', 'misma', 'duda', 'ahora', 'seguro', 'newton', 'llega', 'nombre', 'dice', 'amigo', 'aqui', 'nabis', 'recuerdo']"
@lirrums Pendiente !,"['lirrums', 'pendiente']"
@tiendasdaka  buenas tardes e intentado comunicarme con la tienda de punto fijo e incluso fui a sus otras tiendas de caracas y no me facilitan un número para llamar. El asistente virtual de punto fijo ( clara ) tampoco responde .,"['tiendasdaka', 'buenas', 'tardes', 'intentado', 'comunicarme', 'tienda', 'punto', 'fijo', 'incluso', 'tiendas', 'caracas', 'facilitan', 'número', 'llamar', 'asistente', 'virtual', 'punto', 'fijo', 'clara', 'tampoco', 'responde']"
"@omarmartinex78 Pienso que Los alacranes no querían ganar nada más que lo que ya habían ganado! Dinero, más del que sus „virtudes“ podrían darle en toda su  vida y otras vidas más . .. lamentable pero si ganaron.","['omarmartinex', 'pienso', 'alacranes', 'querían', 'ganar', 'ganado', 'dinero', '„virtudes', 'podrían', 'darle', 'toda', 'vida', 'vidas', 'lamentable', 'si', 'ganaron']"
@AsktoMandrake Este mago es un crack !! Ja ja ja ja ja ja,"['asktomandrake', 'mago', 'crack', 'ja', 'ja', 'ja', 'ja', 'ja', 'ja']"
"@Alex843985985 Ja ja ja ja ja  deja revisar la receta de Armando Escanone pana, una pregunta con que lo vas a acompañar asado negro o carne mechada ? @RosaDLopez","['alex', 'ja', 'ja', 'ja', 'ja', 'ja', 'deja', 'revisar', 'receta', 'armando', 'escanone', 'pana', 'pregunta', 'vas', 'acompañar', 'asado', 'negro', 'carne', 'mechada', 'rosadlopez']"
"Brasil ganando, con una plantilla millonaria por la mínima termina haciendo un consumo de tiempo de pena frente a venezuela","['brasil', 'ganando', 'plantilla', 'millonaria', 'mínima', 'termina', 'haciendo', 'consumo', 'tiempo', 'pena', 'frente', 'venezuela']"
