,word,count
0,fans,1
1,regresan,1
2,nationals,2
3,park,2
4,reanudación,1
5,juego,3
6,béisbol,3
7,ayer,4
8,interrumpido,1
9,tiroteo,4
10,afueras,3
11,estadio,3
12,observa,1
13,presencia,5
14,patrulla,1
15,policial,4
16,frente,6
17,salida,6
18,metro,1
19,navy,1
20,yard,1
21,half,1
22,street,1
23,washingtondc,19
24,pm,5
25,murielbowser,1
26,serviciopúblico,8
27,amigos,10
28,buen,1
29,corazón,6
30,apoyemos,1
31,nordelis,1
32,paciente,2
33,oncológico,2
34,requiere,4
35,operación,8
36,recursos,3
37,cumplió,1
38,tratamiento,5
39,previo,1
40,necesita,5
41,mano,5
42,🙏🏻,9
43,difundir,5
44,donar,2
45,agradecido,4
46,sabemos,3
47,circunstancias,1
48,vzla,6
49,escenas,1
50,policía,4
51,dc,32
52,reportó,2
53,menos,10
54,tres,7
55,heridos,2
56,aseguran,2
57,pistolero,1
58,activo”dentro,1
59,ocurrió,2
60,afuera,3
61,suspendió,2
62,hoy,17
63,vikiviki,1
64,hola,2
65,ideal,1
66,publiques,1
67,tuit,5
68,campaña,6
69,directa,1
70,gofundme,4
71,aportar,3
72,causa,6
73,dios,4
74,bendiga,1
75,guerrera,2
76,at,1
77,least,1
78,she,2
79,condemned,1
80,díaz,3
81,canel,2
82,but,8
83,it’s,4
84,the,39
85,same,2
86,deteriorated,1
87,political,1
88,discourse,1
89,from,1
90,regime,1
91,about,6
92,embargo,3
93,empire,1
94,is,17
95,responsible,1
96,not,6
97,communism,3
98,it,4
99,horrible,1
100,her,1
101,socialist,1
102,side,1
103,came,1
104,up,2
105,despite,1
106,fact,3
107,that,6
108,does,1
109,know,4
110,how,2
111,living,1
112,in,7
113,socialism,3
114,condenó,1
115,discurso,7
116,rayado,1
117,causante,1
118,males,2
119,pueblo,9
120,cubano,4
121,imperio,2
122,culpable,4
123,comunismo”,1
124,terrible,6
125,aquí,34
126,sale,2
127,lado,6
128,socialista,5
129,aunque,1
130,sepa,1
131,realmente,3
132,significa,2
133,vivir,5
134,socialismo,6
135,cosas,2
136,inspiran,1
137,internet,1
138,cualquier,9
139,parecido,1
140,venezuela,108
141,casualidad,1
142,recordemos,1
143,guion,1
144,accionar,2
145,directrices,1
146,siempre,13
147,venido,2
148,cuba,21
149,enemigo,1
150,problema,1
151,medios,3
152,periodistas,4
153,mienten,1
154,creación,2
155,milicias,1
156,paramilitares,1
157,forma,6
158,reprimir,1
159,torturar,1
160,control,5
161,social,9
162,etc,8
163,albertdaboin,2
164,duda,3
165,alguna,4
166,debemos,1
167,reflexionar,1
168,gracias,10
169,comentario,2
170,saludos,10
171,proteccionista,1
172,parasitario,1
173,dado,3
174,muestras,1
175,funcionar,1
176,ta,2
177,digo,3
178,funcionará,2
179,tomar,4
180,cuenta,14
181,clases,2
182,desfavorecidas,1
183,nueva,32
184,república,3
185,norte,5
186,ideológico,1
187,pd,1
188,opinión,22
189,expresada,1
190,acá,3
191,personal,5
192,•necesitamos,1
193,imperativa,1
194,sistema,7
195,cambie,1
196,deben,5
197,pagar,3
198,rebobinar,1
199,cassette,1
200,centro,3
201,izquierda,12
202,previa,1
203,chávez,5
204,liberalismo,1
205,clásico,1
206,esencia,1
207,respuesta,5
208,bajo,6
209,políticas,5
210,progresivas,1
211,inclusivas,1
212,…entiendo,1
213,diferencias,3
214,partidistas,1
215,internas,1
216,¿pero,1
217,costo,4
218,primera,14
219,potencia,3
220,mundial,3
221,cambia,1
222,prioridades,1
223,política,18
224,exterior,8
225,¿por,5
226,partido,5
227,demócrata,6
228,deshace,1
229,ala,1
230,radical,5
231,pro,4
232,perjudica,1
233,particularmente,1
234,eeuu,83
235,administración,9
236,muestra,1
237,dura,3
238,contrario,2
239,iniciado,1
240,levantamiento,1
241,sanciones,11
242,¿no,1
243,prioridad,2
244,lucha,13
245,comunismo,7
246,joebiden,5
247,¿qué,16
248,pasaría,1
249,cúpula,1
250,enchufados,1
251,falsos,1
252,líderes,5
253,opositores,2
254,embarrados,1
255,chavista,4
256,¿habría,1
257,justicia,10
258,transicional,1
259,pasos,1
260,dará,1
261,comunidad,6
262,internacional,6
263,clamor,1
264,¿serán,1
265,cómplices,2
266,silentes,1
267,pasado,6
268,¿cómo,3
269,impactaría,1
270,caída,3
271,régimen,39
272,país,13
273,¿sería,1
274,estímulo,2
275,derrocar,1
276,maduro,59
277,convertiría,1
278,refugio,1
279,criminales,5
280,extrema,13
281,abro,2
282,hilo,11
283,pensar,2
284,foco,3
285,américa,14
286,latina,10
287,ver,7
288,recientemente,1
289,lleva,2
290,reflexiones,1
291,preguntas,6
292,retóricas,1
293,vzlanos,2
294,¿tendremos,1
295,esperar,3
296,décadas,1
297,revolución”,1
298,dictadura,11
299,volver,6
300,gritar,1
301,libertad,7
302,alerta,4
303,colega,8
304,mildred,1
305,manrique,1
306,denuncia,5
307,faes,1
308,edificio,2
309,llegaron,1
310,puerta,2
311,casa,15
312,golpearon,1
313,live,4
314,logró,1
315,sacar,1
316,protesta,4
317,cubanos,5
318,eliecer,3
319,libre,3
320,mientras,7
321,último,1
322,calle,4
323,también”,1
324,dictaduras,3
325,acostumbradas,1
326,lidiar,1
327,inestabilidad,1
328,existido,1
329,esto”,1
330,si,29
331,sigue,8
332,siendo,2
333,empoderada,1
334,mundo,12
335,seguirá,2
336,viendo,2
337,horrores”,1
338,¡vamos,1
339,cubalibre,1
340,hermanos,5
341,alma,2
342,fuerza,6
343,💪🏻,1
344,eterna,1
345,caiga,1
346,cadena…,1
347,nicaragua,4
348,¡cuba,1
349,🇨🇺,1
350,¡venezuela,1
351,🇻🇪,3
352,¡abajo,1
353,carajo,1
354,covid,125
355,cada,6
356,vez,6
357,cobra,2
358,vidas,3
359,situación,3
360,difícil,1
361,tocó,2
362,marla,1
363,prato,1
364,lamento,2
365,partida,1
366,fuerte,6
367,abrazo,1
368,familiares,2
369,cercanos,2
370,¡fuerza,1
371,caso,13
372,asesinato,3
373,presidente,38
374,haití,2
375,desarrollo,2
376,detalles,7
377,eltiempolatino,629
378,percepción,1
379,cercana,1
380,increíble,2
381,cantidad,1
382,gente,6
383,infectada,1
384,grave,2
385,falleciendo,1
386,saco,1
387,entorno,1
388,allegados,1
389,quiero,2
390,imaginar,1
391,cifras,2
392,reales,1
393,oficiales,4
394,¡protéjanse,1
395,happypridemonth,1
396,one,2
397,hurting,1
398,you,11
399,by,5
400,being,1
401,happy,2
402,why,1
403,would,2
404,hurt,1
405,someone,1
406,else,1
407,message,1
408,to,16
409,my,6
410,venezuelan,1
411,latino,7
412,brothers,1
413,and,9
414,sisters,1
415,day,3
416,before,1
417,june,1
418,over,1
419,all,1
420,support,1
421,lgbtq,1
422,community,1
423,leopoldo,3
424,lópez,10
425,leopoldolopez,2
426,hace,10
427,juramento,1
428,junto,3
429,diáspora,3
430,venezolana,12
431,plaza,2
432,bolívar,1
433,voluntadpopular,1
434,washington,21
435,idea,3
436,llegar,6
437,negociación,1
438,logre,2
439,dos,23
440,objetivos,2
441,primero,2
442,atender,4
443,manera,3
444,inmediata,1
445,emergencia,9
446,humanitaria,6
447,segundo,3
448,cronograma,1
449,elecciones,12
450,parlamentarias,1
451,presidenciales”,1
452,video,80
453,completo,4
454,añade,1
455,zelle,1
456,quiera,2
457,ayudar,6
458,gran,1
459,amigo,1
460,familia,7
461,ayuda,11
462,🙏🏻puedes,1
463,granito,5
464,arena,5
465,rt,5
466,••rogelio,1
467,silva,2
468,problemas,4
469,respiratorios,1
470,ccs,1
471,requerimos,1
472,cubrir,1
473,médico,7
474,¡gracias,1
475,lodice,1
476,simonovis,1
477,únicos,1
478,terminan,2
479,favorecidos,1
480,negocian,1
481,espacio,3
482,entregado,1
483,terroristas,5
484,guerrilleros,2
485,tipo,4
486,tío,5
487,luisenlaweb,2
488,salvar,2
489,vida,12
490,encuentra,4
491,mal,4
492,salud,8
493,debido,2
494,diabetes,2
495,hizo,5
496,perder,2
497,piernas,2
498,además,1
499,presenta,4
500,insuficiencia,1
501,cardíaca,2
502,vía,603
503,triste,1
504,realidad,6
505,tarde,2
506,temprano,1
507,estimada,1
508,mejores,3
509,deseos,1
510,usted,3
511,abrazos,11
512,paholarondxn,2
513,pura,2
514,labia,1
515,cumplo,1
516,años,18
517,twitter,7
518,omg,1
519,twitteraniversary,1
520,casi,3
521,cerca,2
522,fundación,1
523,mundos,1
524,elon’s,1
525,mom,1
526,waiting,1
527,for,7
528,his,1
529,mother’s,1
530,gift,1
531,hopefully,1
532,bunch,1
533,of,7
534,dogecoin,9
535,be,5
536,great,1
537,doge,15
538,getting,1
539,stronger,1
540,everybody,1
541,hodl,1
542,dogetothemoon,1
543,elonmusksnl,1
544,dogefather,1
545,dogearmy,4
546,dogecoinupdate,1
547,yaaasss,1
548,dogecointothemoon,5
549,haciendo,7
550,promueven,1
551,confusión,1
552,apoyar,3
553,caos,6
554,violencia,13
555,importar,1
556,consecuencias,4
557,protestan,1
558,narco,3
559,cruel,1
560,criminal,7
561,corrupta,3
562,asesina,1
563,hemisferio,2
564,léase,1
565,hey,2
566,what,6
567,needs,1
568,on,4
569,coinbase,1
570,muchas,2
571,pueden,2
572,interponerse,1
573,finalizar,1
574,grabación,1
575,reporte,1
576,paciencia,1
577,insistencia,1
578,pasión,2
579,dedicación,1
580,palabras,2
581,implicadas,1
582,proceso,4
583,hacer,10
584,amas,1
585,veces,1
586,solo,13
587,repetir,1
588,empezar,1
589,cero,1
590,tocando,1
591,límites,1
592,históricos,1
593,imagínense,1
594,sábado,7
595,elonmusk,3
596,snl,1
597,nbcsnl,1
598,dogecoinarmy,1
599,¿a,3
600,cuánto,2
601,llegará,1
602,pido,6
603,ayuden,2
604,trata,5
605,familiar,5
606,esposa,2
607,urgencia,1
608,supera,9
609,usd,5
610,mil,25
611,puedes,7
612,ofelia,1
613,castañeda,1
614,celebro,2
615,venezolanos,50
616,beatificación,1
617,dr,1
618,josé,11
619,gregorio,2
620,hernández,2
621,medio,21
622,tantas,1
623,dificultades,1
624,dolor,2
625,viven,1
626,allá,1
627,millones,15
628,♥️,1
629,josegregoriohernandez,1
630,caricatura,8
631,fmpinilla,7
632,spanish,1
633,¡hiciste,1
634,bien,7
635,laura,2
636,hecho,7
637,pasa,9
638,mismo,4
639,derecha,5
640,representada,1
641,editor,2
642,dentro,6
643,periódico,1
644,comunicación,1
645,¡qué,1
646,momento,6
647,tan,4
648,desafortunado,1
649,periodismo,5
650,did,3
651,right,5
652,that’s,2
653,i’d,1
654,have,2
655,done,2
656,too,1
657,this,4
658,happens,1
659,when,2
660,far,11
661,left,9
662,as,1
663,represented,1
664,an,4
665,inside,1
666,newspaper,1
667,mass,1
668,media,1
669,such,1
670,unfortunate,1
671,moment,1
672,journalism,1
673,nnc,1
674,safefairmoon,3
675,thanks,1
676,information,1
677,yes,2
678,already,1
679,thinking,1
680,investing,1
681,doing,1
682,research,1
683,first,2
684,cryptocurrencies,1
685,crypto,1
686,dogecointo,1
687,dollar,1
688,amazon,2
689,finalmente,2
690,esperemos,1
691,lleguen,2
692,luego,15
693,am,3
694,abr,14
695,estación,1
696,después,6
697,¿ahora,1
698,spacex,4
699,crew,1
700,nasa,5
701,rocketmoon,1
702,tesla,2
703,dragon,1
704,dogecoins,2
705,dogecoinrise,3
706,criptomoedas,1
707,madrugada,1
708,hora,7
709,lanzamiento,3
710,falcon,2
711,crewdragon,1
712,astronautas,1
713,bordo,1
714,segunda,2
715,misión,2
716,comercial,1
717,atentos,3
718,acciones,1
719,invertido,1
720,perrito,1
721,santiag,1
722,altibajos,1
723,parte,18
724,comportamiento,1
