tweet,tweet_tokenized
Fans regresan al Nationals Park para reanudación del juego de béisbol de ayer interrumpido por tiroteo en las afueras del estadio. Se observa presencia de una patrulla policial al frente de la salida del Metro en Navy Yard / Half Street.  #WashingtonDC 2:06 pm. @MurielBowser  https://t.co/a1NNpKhVyr,"['fans', 'regresan', 'nationals', 'park', 'reanudación', 'juego', 'béisbol', 'ayer', 'interrumpido', 'tiroteo', 'afueras', 'estadio', 'observa', 'presencia', 'patrulla', 'policial', 'frente', 'salida', 'metro', 'navy', 'yard', 'half', 'street', 'washingtondc', 'pm', 'murielbowser']"
"#ServicioPúblico Amigos de buen corazón, apoyemos a Nordelis. Es paciente oncológico y requiere de operación, pero no tiene recursos. Ya cumplió con tratamiento previo y necesita una mano 🙏🏻 Difundir y/o donar será agradecido por ella. Sabemos circunstancias en las que está Vzla.","['serviciopúblico', 'amigos', 'buen', 'corazón', 'apoyemos', 'nordelis', 'paciente', 'oncológico', 'requiere', 'operación', 'recursos', 'cumplió', 'tratamiento', 'previo', 'necesita', 'mano', '🙏🏻', 'difundir', 'donar', 'agradecido', 'sabemos', 'circunstancias', 'vzla']"
Algunas escenas del tiroteo de ayer en las afueras del estadio de Béisbol en #WashingtonDC Nationals Park. La policía de DC reportó al menos tres heridos.Aseguran que no fue un “pistolero activo”dentro del estadio. Todo ocurrió afuera. El juego se suspendió hasta hoy a la 1.05 pm  https://t.co/briG3HdhRN,"['escenas', 'tiroteo', 'ayer', 'afueras', 'estadio', 'béisbol', 'washingtondc', 'nationals', 'park', 'policía', 'dc', 'reportó', 'menos', 'tres', 'heridos', 'aseguran', 'pistolero', 'activo”dentro', 'estadio', 'ocurrió', 'afuera', 'juego', 'suspendió', 'hoy', 'pm']"
"@VIKIVIKI2011 Hola, sería ideal que publiques un tuit con una campaña directa de @gofundme para aportar y difundir.ñ s tu causa. Dios te bendiga, guerrera. 🙏🏻","['vikiviki', 'hola', 'ideal', 'publiques', 'tuit', 'campaña', 'directa', 'gofundme', 'aportar', 'difundir', 'causa', 'dios', 'bendiga', 'guerrera', '🙏🏻']"
"At least she condemned Díaz-Canel. But it’s the same deteriorated political discourse from the regime about the embargo. The Empire is responsible,but it’s not communism. It is horrible.Her socialist side came up, despite the fact that she does not know how is living in socialism","['at', 'least', 'she', 'condemned', 'díaz', 'canel', 'but', 'it’s', 'the', 'same', 'deteriorated', 'political', 'discourse', 'from', 'the', 'regime', 'about', 'the', 'embargo', 'the', 'empire', 'is', 'responsible', 'but', 'it’s', 'not', 'communism', 'it', 'is', 'horrible', 'her', 'socialist', 'side', 'came', 'up', 'despite', 'the', 'fact', 'that', 'she', 'does', 'not', 'know', 'how', 'is', 'living', 'in', 'socialism']"
"Al menos condenó a Díaz-Canel. Pero el discurso rayado del embargo como causante de los males del pueblo cubano (“El imperio es el culpable y no no el comunismo”),es terrible. Aquí es cuando le sale el lado socialista, aunque no sepa realmente lo que significa vivir en socialismo","['menos', 'condenó', 'díaz', 'canel', 'discurso', 'rayado', 'embargo', 'causante', 'males', 'pueblo', 'cubano', 'imperio', 'culpable', 'comunismo”', 'terrible', 'aquí', 'sale', 'lado', 'socialista', 'aunque', 'sepa', 'realmente', 'significa', 'vivir', 'socialismo']"
"👏 Cosas que inspiran, en internet.","['cosas', 'inspiran', 'internet']"
"Cualquier parecido con Venezuela NO es casualidad.Recordemos que guion, accionar y directrices siempre han venido de Cuba.[Imperio como enemigo y causa del problema,medios y periodistas mienten,creación de milicias paramilitares, forma de reprimir, torturar y control social,etc]","['cualquier', 'parecido', 'venezuela', 'casualidad', 'recordemos', 'guion', 'accionar', 'directrices', 'siempre', 'venido', 'cuba', 'imperio', 'enemigo', 'causa', 'problema', 'medios', 'periodistas', 'mienten', 'creación', 'milicias', 'paramilitares', 'forma', 'reprimir', 'torturar', 'control', 'social', 'etc']"
@albertdaboin Sin duda alguna debemos reflexionar y accionar. Gracias por el comentario. Saludos,"['albertdaboin', 'duda', 'alguna', 'debemos', 'reflexionar', 'accionar', 'gracias', 'comentario', 'saludos']"
@albertdaboin  https://t.co/ZT8UH8eJnK  https://t.co/uUfVcw9XR5,['albertdaboin']
"🧵 7/7 Un estado proteccionista parasitario ha dado muestras de NO funcionar ni en la 4ta ni en la 5ta.Y les digo:NO funcionará.Pero hay que tomar en cuenta a las clases más desfavorecidas en una nueva República, con otro norte ideológico.  PD:La opinión expresada acá es personal","['proteccionista', 'parasitario', 'dado', 'muestras', 'funcionar', 'ta', 'ta', 'digo', 'funcionará', 'tomar', 'cuenta', 'clases', 'desfavorecidas', 'nueva', 'república', 'norte', 'ideológico', 'pd', 'opinión', 'expresada', 'acá', 'personal']"
"🧵 6/7 •Necesitamos de forma imperativa que el sistema cambie,pero deben pagar los que tienen que pagar. Rebobinar cassette a la centro izquierda previa a Chávez no funcionará. El liberalismo clásico es en esencia la respuesta,bajo políticas progresivas e inclusivas.","['•necesitamos', 'forma', 'imperativa', 'sistema', 'cambie', 'deben', 'pagar', 'pagar', 'rebobinar', 'cassette', 'centro', 'izquierda', 'previa', 'chávez', 'funcionará', 'liberalismo', 'clásico', 'esencia', 'respuesta', 'bajo', 'políticas', 'progresivas', 'inclusivas']"
"🧵 5/7…Entiendo las diferencias partidistas internas, ¿pero a qué costo la primera potencia mundial cambia sus prioridades en política exterior?¿Por qué el partido demócrata no se deshace de esa ala radical pro-socialismo que tanto lo perjudica?","['…entiendo', 'diferencias', 'partidistas', 'internas', '¿pero', 'costo', 'primera', 'potencia', 'mundial', 'cambia', 'prioridades', 'política', 'exterior', '¿por', 'partido', 'demócrata', 'deshace', 'ala', 'radical', 'pro', 'socialismo', 'perjudica']"
"🧵 4/7• Particularmente EEUU bajo esta administración no ha dado muestra de mano dura. Por el contrario, ha iniciado levantamiento de algunas sanciones a Vzla. ¿No es prioridad la lucha contra el comunismo para @JoeBiden?…","['particularmente', 'eeuu', 'bajo', 'administración', 'dado', 'muestra', 'mano', 'dura', 'contrario', 'iniciado', 'levantamiento', 'sanciones', 'vzla', '¿no', 'prioridad', 'lucha', 'comunismo', 'joebiden']"
