frequency,bigram/trigram
61,muchas gracias
22,gracias apoyo
13,gracias amigo
10,muchas gracias apoyo
10,muchas gracias amigo
8,gracias dato
8,escríbeme dm
6,untalsiso xd
6,puerto ordaz
6,muchísimas gracias
6,muchas gracias dato
6,gracias apoyo amigo
6,dua lipa
6,apoyo amigo
5,vale muchas gracias
5,vale muchas
5,mil gracias
5,just dance
5,hola amigo
5,cada vez
4,untalsiso arcemiotico
4,soy_la_galleta patymenoni
4,segundo tweet
4,je jel
4,emmanuel villegas
4,diseñador gráfico
4,coming soon
4,ah ok
3,versión logo
3,venezuela país imposible
3,venezuela país
3,vdbravo_ si
3,untalsiso abrahamapk
3,tweet representa
3,totalmente acuerdo
3,supuesto yes
3,supuesto escríbeme dm
3,supuesto escríbeme
3,spot publicitario producido
3,spot publicitario
3,si va
3,si cuadra
3,redes sociales
3,publicitario producido venezuela
3,publicitario producido
3,producido venezuela
3,pregunta seria
3,país imposible
3,patymenoni si
3,mil gracias apoyo
3,mejor spot publicitario
3,mejor spot
3,mavillanita muchas gracias
3,mavillanita muchas
3,marca personal
3,link portafolio
3,jel gan
3,je jel gan
3,gracias pana
3,gracias mano
3,gracias información
3,gracias apoyo hermano
3,flyquest josedeodo
3,feliz día
3,fallas lógica
3,escribir dm
3,coye vale
3,claro si
3,ayudemos colega
3,arcemiotico untalsiso
3,arcemiotico si
3,arcemiotico grande
3,apoyo hermano
3,anthxnyb_ untalsiso
3,ains muchas gracias
3,ains muchas
3,58 4249355076
2,única forma
2,álbum dua lipa
2,álbum dua
2,viicastillos graaaaccciiiaaasss
2,vienen cosas
2,vez cerca
2,veo fallas lógica
2,veo fallas
2,vas hacer
2,vamos si puede
2,vamos si
2,valle bravo
2,valentripicchio esplayon anthxnyb_
2,valentripicchio esplayon
2,va gustar
2,untalsiso total
2,untalsiso soystef_x
2,untalsiso si
2,untalsiso je
2,untalsiso confirmo
2,untalsiso arcemiotico si
2,untalsiso anthxnyb_
2,unas semanas
2,twitter quiero
2,tweet hilo
2,total xd
2,toda venezuela
2,toda semana escuchando
2,toda semana
2,titongo irenekarenina
2,super fan
2,sunndeyy entonces
2,soystef_x valentripicchio esplayon
2,soystef_x valentripicchio
2,soystef_x si
2,sido mejores
2,si quieres ver
2,si quieres
2,si pues
2,si puedo
2,si puede
2,si pasa
2,si hablo ingles
2,si hablo
2,si gusta
2,semana escuchando segundo
2,semana escuchando
2,segundo álbum dua
2,segundo álbum
2,segundo tweet hilo
2,sale mejor
2,runas generar
2,rodrigoneptuno lolesports
2,reyes marketing
2,regalo navidad
2,red hot chilli
2,red hot
2,rariblecom opensea
2,quieres ver
2,puedo escribir dm
2,puedo escribir
2,puedo decir
2,puedes encontrar
2,pueden hacer
2,pronto tarde
2,presento reyes marketing
2,presento reyes
2,pongámonos acuerdo
2,ponemos acuerdo
2,poder escribirte
2,personal emmanuel villegas
2,personal emmanuel
2,películas navidad
2,patymenoni abrahamapk
2,pasó vez
2,pa vayas
2,oye pues
2,orial_ jalearis theerikiu
2,orial_ jalearis
2,omarenrique_mp muchas gracias
2,omarenrique_mp muchas
2,obra arte
2,note pro
2,nostalgia dua lipa
2,nostalgia dua
2,nombre apellido
2,necesito ayuda
2,mujervenezolan3 heriwoku_
2,muchísimas gracias dato
2,muchas gracias reviso
2,muchas gracias mano
2,muchas gracias información
2,mejores películas navidad
2,mejores películas
2,marca personal emmanuel
2,mal hecho
2,llevo toda semana
2,llevo toda
2,jalearis theerikiu
2,itsdadoried hola
2,invito escribas
2,ingles conversacional
2,información amigo
2,ibaillanos orial_ jalearis
2,ibaillanos orial_
2,háganle caso
2,hot chilli peppers
2,hot chilli
2,holareserve vicman_ve
2,holareserve 6eeggjquvp
2,hola diseñador
2,hola amiga
2,hcarpach rariblecom opensea
2,hcarpach rariblecom
2,hagan caso
2,hace falta
2,hablo ingles
2,gracias reviso
2,gracias información amigo
2,gracias hermano
2,gracias dato amigo
2,gracias apoyo amiga
2,gracias amigo alegra
2,gracias amiga
2,future nostalgia dua
2,future nostalgia
2,esplayon anthxnyb_ untalsiso
